계급,ge_빈도수,,impo_빈도수,,,frr,far,,,,TP임,FN이였음(FRR),FAR=FP,TN,,LR+,LR-,
-2.6,0,0.00%,0,0.00%,,0.000%,100.00%,,,,3561,0,3525,2,,0,3392,
-2.56,0,0.00%,2,0.06%,,0.000%,99.94%,,,,3561,0,3523,6,,0,3392,
-2.52,0,0.00%,4,0.11%,,0.000%,99.83%,,,,3561,0,3519,11,,0,3392,
-2.48,0,0.00%,5,0.14%,,0.000%,99.69%,,,,3561,0,3514,14,,0,3392,
-2.44,0,0.00%,3,0.09%,,0.000%,99.60%,,,,3561,0,3511,19,,0,3392,
-2.4,0,0.00%,5,0.14%,,0.000%,99.46%,,,,3561,0,3506,26,,0,3392,
-2.36,0,0.00%,7,0.20%,,0.000%,99.26%,,,,3561,0,3499,34,,0,3392,
-2.32,0,0.00%,8,0.23%,,0.000%,99.04%,,,,3561,0,3491,42,,0,3392,
-2.28,0,0.00%,8,0.23%,,0.000%,98.81%,,,,3561,0,3483,61,,0,3392,
-2.24,0,0.00%,19,0.54%,,0.000%,98.27%,,,,3561,0,3464,73,,0,3392,
-2.2,0,0.00%,12,0.34%,,0.000%,97.93%,,,,3561,0,3452,90,,0,3392,
-2.16,0,0.00%,17,0.48%,,0.000%,97.45%,,,,3561,0,3435,99,,0,3392,
-2.12,0,0.00%,9,0.26%,,0.000%,97.19%,,,,3561,0,3426,133,,0,3392,
-2.08,0,0.00%,34,0.96%,,0.000%,96.23%,,,,3561,1,3392,166,,0.000294811,3392,
-2.04,1,0.03%,33,0.94%,,0.028%,95.29%,,,,3560,2,3359,196,,0.000595415,1679.5,
-2,1,0.03%,30,0.85%,,0.056%,94.44%,,,,3559,3,3329,233,,0.000901172,1109.666667,
-1.96,1,0.03%,37,1.05%,,0.084%,93.39%,,,,3558,3,3292,266,,0.0009113,1097.333333,
-1.92,0,0.00%,33,0.94%,,0.084%,92.45%,,,,3558,4,3259,309,,0.00122737,814.75,
-1.88,1,0.03%,43,1.22%,,0.112%,91.23%,,,,3557,4,3216,353,,0.001243781,804,
-1.84,0,0.00%,44,1.25%,,0.112%,89.99%,,,,3557,4,3172,402,,0.001261034,793,
-1.8,0,0.00%,49,1.39%,,0.112%,88.60%,,,,3557,5,3123,463,,0.001601025,624.6,
-1.76,1,0.03%,61,1.73%,,0.140%,86.87%,,,,3556,7,3062,526,,0.002286088,437.4285714,
-1.72,2,0.06%,63,1.79%,,0.197%,85.08%,,,,3554,9,2999,585,,0.003001,333.2222222,
-1.68,2,0.06%,59,1.67%,,0.253%,83.40%,,,,3552,9,2940,661,,0.003061224,326.6666667,
-1.64,0,0.00%,76,2.16%,,0.253%,81.25%,,,,3552,11,2864,729,,0.003840782,260.3636364,
-1.6,2,0.06%,68,1.93%,,0.309%,79.32%,,,,3550,14,2796,794,,0.005007153,199.7142857,
-1.56,3,0.08%,65,1.84%,,0.393%,77.48%,,,,3547,17,2731,875,,0.006224826,160.6470588,
-1.52,3,0.08%,81,2.30%,,0.477%,75.18%,,,,3544,23,2650,963,,0.008679245,115.2173913,
-1.48,6,0.17%,88,2.50%,,0.646%,72.68%,,,,3538,27,2562,1075,,0.010538642,94.88888889,
-1.44,4,0.11%,112,3.18%,,0.758%,69.50%,,,,3534,33,2450,1203,,0.013469388,74.24242424,
-1.4,6,0.17%,128,3.63%,,0.927%,65.87%,,,,3528,35,2322,1310,,0.015073213,66.34285714,
-1.36,2,0.06%,107,3.04%,,0.983%,62.84%,,,,3526,41,2215,1427,,0.018510158,54.02439024,
-1.32,6,0.17%,117,3.32%,,1.151%,59.52%,,,,3520,45,2098,1528,,0.021448999,46.62222222,
-1.28,4,0.11%,101,2.87%,,1.264%,56.65%,,,,3516,46,1997,1630,,0.023034552,43.41304348,
-1.24,1,0.03%,102,2.89%,,1.292%,53.76%,,,,3515,54,1895,1734,,0.028496042,35.09259259,
-1.2,8,0.22%,104,2.95%,,1.516%,50.81%,,,,3507,56,1791,1873,,0.031267448,31.98214286,
-1.16,2,0.06%,139,3.94%,,1.573%,46.87%,,,,3505,59,1652,1981,,0.035714286,28,
-1.12,3,0.08%,108,3.06%,,1.657%,43.80%,,,,3502,67,1544,2146,,0.043393782,23.04477612,
-1.08,8,0.22%,165,4.68%,,1.881%,39.12%,,,,3494,70,1379,2310,,0.050761421,19.7,
-1.04,3,0.08%,164,4.65%,,1.966%,34.47%,,,,3491,76,1215,2535,,0.06255144,15.98684211,
-1,6,0.17%,225,6.38%,,2.134%,28.09%,,,,3485,82,990,2560,,0.082828283,12.07317073,
-0.96,6,0.17%,25,0.71%,,2.303%,27.38%,,,,3479,87,965,2580,,0.09015544,11.09195402,
-0.92,5,0.14%,20,0.57%,,2.443%,26.81%,,,,3474,89,945,2598,,0.094179894,10.61797753,
-0.88,2,0.06%,18,0.51%,,2.499%,26.30%,,,,3472,93,927,2612,,0.100323625,9.967741935,
-0.84,4,0.11%,14,0.40%,,2.612%,25.90%,,,,3468,100,913,2627,,0.109529025,9.13,
