계급,ge_빈도,,impo_빈도,,,frr,far,,,,TP임,FN이였음(FRR),FAR=FP,TN,,LR+,LR-
-3.66,0,0.00%,0,0.00%,,0.000%,100.00%,,,,3558,0,3528,3,,0,2962
-3.61,0,0.00%,3,0.09%,,0.000%,99.91%,,,,3558,0,3525,8,,0,2962
-3.56,0,0.00%,5,0.14%,,0.000%,99.77%,,,,3558,0,3520,11,,0,2962
-3.51,0,0.00%,3,0.09%,,0.000%,99.69%,,,,3558,0,3517,16,,0,2962
-3.46,0,0.00%,5,0.14%,,0.000%,99.55%,,,,3558,0,3512,24,,0,2962
-3.41,0,0.00%,8,0.23%,,0.000%,99.32%,,,,3558,0,3504,33,,0,2962
-3.36,0,0.00%,9,0.26%,,0.000%,99.06%,,,,3558,0,3495,52,,0,2962
-3.31,0,0.00%,19,0.54%,,0.000%,98.53%,,,,3558,0,3476,62,,0,2962
-3.26,0,0.00%,10,0.28%,,0.000%,98.24%,,,,3558,0,3466,71,,0,2962
-3.21,0,0.00%,9,0.26%,,0.000%,97.99%,,,,3558,0,3457,88,,0,2962
-3.16,0,0.00%,17,0.48%,,0.000%,97.51%,,,,3558,0,3440,115,,0,2962
-3.11,0,0.00%,27,0.77%,,0.000%,96.74%,,,,3558,0,3413,131,,0,2962
-3.06,0,0.00%,16,0.45%,,0.000%,96.29%,,,,3558,0,3397,159,,0,2962
-3.01,0,0.00%,28,0.79%,,0.000%,95.49%,,,,3558,0,3369,186,,0,2962
-2.96,0,0.00%,27,0.77%,,0.000%,94.73%,,,,3558,0,3342,206,,0,2962
-2.91,0,0.00%,20,0.57%,,0.000%,94.16%,,,,3558,0,3322,223,,0,2962
-2.86,0,0.00%,17,0.48%,,0.000%,93.68%,,,,3558,0,3305,256,,0,2962
-2.81,0,0.00%,33,0.94%,,0.000%,92.74%,,,,3558,0,3272,284,,0,2962
-2.76,0,0.00%,28,0.79%,,0.000%,91.95%,,,,3558,0,3244,318,,0,2962
-2.71,0,0.00%,34,0.96%,,0.000%,90.99%,,,,3558,0,3210,352,,0,2962
-2.66,0,0.00%,34,0.96%,,0.000%,90.02%,,,,3558,0,3176,389,,0,2962
-2.61,0,0.00%,37,1.05%,,0.000%,88.97%,,,,3558,0,3139,427,,0,2962
-2.56,0,0.00%,38,1.08%,,0.000%,87.90%,,,,3558,0,3101,468,,0,2962
-2.51,0,0.00%,41,1.16%,,0.000%,86.73%,,,,3558,0,3060,519,,0,2962
-2.46,0,0.00%,51,1.45%,,0.000%,85.29%,,,,3558,0,3009,566,,0,2962
-2.41,0,0.00%,47,1.33%,,0.000%,83.96%,,,,3558,1,2962,624,,0.00033761,2962
-2.36,1,0.03%,58,1.64%,,0.028%,82.31%,,,,3557,2,2904,679,,0.000688705,1452
-2.31,1,0.03%,55,1.56%,,0.056%,80.75%,,,,3556,5,2849,741,,0.001755002,569.8
-2.26,3,0.08%,62,1.76%,,0.141%,79.00%,,,,3553,7,2787,784,,0.002511661,398.1428571
-2.21,2,0.06%,43,1.22%,,0.197%,77.78%,,,,3551,7,2744,841,,0.00255102,392
-2.16,0,0.00%,57,1.62%,,0.197%,76.16%,,,,3551,7,2687,890,,0.002605136,383.8571429
-2.11,0,0.00%,49,1.39%,,0.197%,74.77%,,,,3551,10,2638,941,,0.003790751,263.8
-2.06,3,0.08%,51,1.45%,,0.281%,73.33%,,,,3548,11,2587,991,,0.004252029,235.1818182
-2.01,1,0.03%,50,1.42%,,0.309%,71.91%,,,,3547,11,2537,1043,,0.00433583,230.6363636
-1.96,0,0.00%,52,1.47%,,0.309%,70.44%,,,,3547,12,2485,1082,,0.004828974,207.0833333
-1.91,1,0.03%,39,1.11%,,0.337%,69.33%,,,,3546,15,2446,1123,,0.006132461,163.0666667
-1.86,3,0.08%,41,1.16%,,0.422%,68.17%,,,,3543,16,2405,1163,,0.006652807,150.3125
-1.81,1,0.03%,40,1.13%,,0.450%,67.04%,,,,3542,21,2365,1197,,0.008879493,112.6190476
-1.76,5,0.14%,34,0.96%,,0.590%,66.07%,,,,3537,22,2331,1237,,0.009438009,105.9545455
