계급,빈도수,계급,빈도수,,,frr,far,,,,TP임,FN이였음(FRR),FAR=FP,TN,,LR+,LR-
-4.7,0,0.00%,0,0.00%,,0.000%,100.00%,,,,3525,0,3525,1,,0,2492
-4.645,0,0.00%,1,0.03%,,0.000%,99.97%,,,,3525,0,3524,2,,0,2492
-4.59,0,0.00%,1,0.03%,,0.000%,99.94%,,,,3525,0,3523,5,,0,2492
-4.535,0,0.00%,3,0.09%,,0.000%,99.86%,,,,3525,0,3520,7,,0,2492
-4.48,0,0.00%,2,0.06%,,0.000%,99.80%,,,,3525,0,3518,14,,0,2492
-4.425,0,0.00%,7,0.20%,,0.000%,99.60%,,,,3525,0,3511,20,,0,2492
-4.37,0,0.00%,6,0.17%,,0.000%,99.43%,,,,3525,0,3505,28,,0,2492
-4.315,0,0.00%,8,0.23%,,0.000%,99.21%,,,,3525,0,3497,38,,0,2492
-4.26,0,0.00%,10,0.28%,,0.000%,98.92%,,,,3525,0,3487,44,,0,2492
-4.205,0,0.00%,6,0.17%,,0.000%,98.75%,,,,3525,0,3481,58,,0,2492
-4.15,0,0.00%,14,0.40%,,0.000%,98.35%,,,,3525,0,3467,85,,0,2492
-4.095,0,0.00%,27,0.77%,,0.000%,97.59%,,,,3525,0,3440,98,,0,2492
-4.04,0,0.00%,13,0.37%,,0.000%,97.22%,,,,3525,0,3427,119,,0,2492
-3.985,0,0.00%,21,0.60%,,0.000%,96.62%,,,,3525,0,3406,151,,0,2492
-3.93,0,0.00%,32,0.91%,,0.000%,95.72%,,,,3525,0,3374,185,,0,2492
-3.875,0,0.00%,34,0.96%,,0.000%,94.75%,,,,3525,0,3340,208,,0,2492
-3.82,0,0.00%,23,0.65%,,0.000%,94.10%,,,,3525,0,3317,259,,0,2492
-3.765,0,0.00%,51,1.45%,,0.000%,92.65%,,,,3525,0,3266,285,,0,2492
-3.71,0,0.00%,26,0.74%,,0.000%,91.91%,,,,3525,0,3240,316,,0,2492
-3.655,0,0.00%,31,0.88%,,0.000%,91.04%,,,,3525,0,3209,356,,0,2492
-3.6,0,0.00%,40,1.13%,,0.000%,89.90%,,,,3525,0,3169,403,,0,2492
-3.545,0,0.00%,47,1.33%,,0.000%,88.57%,,,,3525,0,3122,438,,0,2492
-3.49,0,0.00%,35,0.99%,,0.000%,87.57%,,,,3525,0,3087,482,,0,2492
-3.435,0,0.00%,44,1.25%,,0.000%,86.33%,,,,3525,0,3043,530,,0,2492
-3.38,0,0.00%,48,1.36%,,0.000%,84.96%,,,,3525,0,2995,578,,0,2492
-3.325,0,0.00%,48,1.36%,,0.000%,83.60%,,,,3525,0,2947,617,,0,2492
-3.27,0,0.00%,39,1.11%,,0.000%,82.50%,,,,3525,0,2908,660,,0,2492
-3.215,0,0.00%,43,1.22%,,0.000%,81.28%,,,,3525,0,2865,700,,0,2492
-3.16,0,0.00%,40,1.13%,,0.000%,80.14%,,,,3525,0,2825,742,,0,2492
-3.105,0,0.00%,42,1.19%,,0.000%,78.95%,,,,3525,0,2783,783,,0,2492
-3.05,0,0.00%,41,1.16%,,0.000%,77.79%,,,,3525,0,2742,819,,0,2492
-2.995,0,0.00%,36,1.02%,,0.000%,76.77%,,,,3525,0,2706,876,,0,2492
-2.94,0,0.00%,57,1.62%,,0.000%,75.15%,,,,3525,0,2649,907,,0,2492
-2.885,0,0.00%,31,0.88%,,0.000%,74.27%,,,,3525,0,2618,943,,0,2492
-2.83,0,0.00%,36,1.02%,,0.000%,73.25%,,,,3525,0,2582,987,,0,2492
-2.775,0,0.00%,44,1.25%,,0.000%,72.00%,,,,3525,0,2538,1033,,0,2492
-2.72,0,0.00%,46,1.30%,,0.000%,70.70%,,,,3525,1,2492,1074,,0.000401284,2492
-2.665,1,0.03%,41,1.16%,,0.028%,69.53%,,,,3524,2,2451,1113,,0.000815993,1225.5
-2.61,1,0.03%,39,1.11%,,0.057%,68.43%,,,,3523,2,2412,1148,,0.000829187,1206
-2.555,0,0.00%,35,0.99%,,0.057%,67.43%,,,,3523,2,2377,1179,,0.000841397,1188.5
-2.5,0,0.00%,31,0.88%,,0.057%,66.55%,,,,3523,2,2346,1221,,0.000852515,1173
-2.445,0,0.00%,42,1.19%,,0.057%,65.36%,,,,3523,2,2304,1245,,0.000868056,1152
-2.39,0,0.00%,24,0.68%,,0.057%,64.68%,,,,3523,2,2280,1268,,0.000877193,1140
-2.335,0,0.00%,23,0.65%,,0.057%,64.03%,,,,3523,4,2257,1304,,0.001772264,564.25
-2.28,2,0.06%,36,1.02%,,0.113%,63.01%,,,,3521,5,2221,1354,,0.002251238,444.2
-2.225,1,0.03%,50,1.42%,,0.142%,61.59%,,,,3520,6,2171,1389,,0.002763703,361.8333333
-2.17,1,0.03%,35,0.99%,,0.170%,60.60%,,,,3519,8,2136,1428,,0.003745318,267
-2.115,2,0.06%,39,1.11%,,0.227%,59.49%,,,,3517,8,2097,1460,,0.003814974,262.125
-2.06,0,0.00%,32,0.91%,,0.227%,58.58%,,,,3517,10,2065,1510,,0.004842615,206.5
-2.005,2,0.06%,50,1.42%,,0.284%,57.16%,,,,3515,11,2015,1559,,0.005459057,183.1818182
-1.95,1,0.03%,49,1.39%,,0.312%,55.77%,,,,3514,12,1966,1600,,0.006103764,163.8333333
-1.895,1,0.03%,41,1.16%,,0.340%,54.61%,,,,3513,12,1925,1633,,0.006233766,160.4166667
-1.84,0,0.00%,33,0.94%,,0.340%,53.67%,,,,3513,13,1892,1661,,0.006871036,145.5384615
-1.785,1,0.03%,28,0.79%,,0.369%,52.88%,,,,3512,13,1864,1694,,0.006974249,143.3846154
-1.73,0,0.00%,33,0.94%,,0.369%,51.94%,,,,3512,14,1831,1740,,0.007646095,130.7857143
-1.675,1,0.03%,46,1.30%,,0.397%,50.64%,,,,3511,16,1785,1770,,0.008963585,111.5625
-1.62,2,0.06%,30,0.85%,,0.454%,49.79%,,,,3509,19,1755,1810,,0.010826211,92.36842105
-1.565,3,0.09%,40,1.13%,,0.539%,48.65%,,,,3506,22,1715,1852,,0.012827988,77.95454545
-1.51,3,0.09%,42,1.19%,,0.624%,47.46%,,,,3503,25,1673,1895,,0.014943216,66.92
-1.455,3,0.09%,43,1.22%,,0.709%,46.24%,,,,3500,29,1630,1937,,0.017791411,56.20689655
-1.4,4,0.11%,42,1.19%,,0.823%,45.05%,,,,3496,33,1588,1999,,0.020780856,48.12121212
-1.345,4,0.11%,62,1.76%,,0.936%,43.29%,,,,3492,36,1526,2053,,0.023591088,42.38888889
-1.29,3,0.09%,54,1.53%,,1.021%,41.76%,,,,3489,39,1472,2109,,0.026494565,37.74358974
-1.235,3,0.09%,56,1.59%,,1.106%,40.17%,,,,3486,40,1416,2187,,0.028248588,35.4
-1.18,1,0.03%,78,2.21%,,1.135%,37.96%,,,,3485,41,1338,2340,,0.03064275,32.63414634
-1.125,1,0.03%,153,4.34%,,1.163%,33.62%,,,,3484,42,1185,2571,,0.035443038,28.21428571
-1.07,1,0.03%,231,6.55%,,1.191%,27.06%,,,,3483,48,954,2671,,0.050314465,19.875
-1.015,6,0.17%,100,2.84%,,1.362%,24.23%,,,,3477,55,854,2697,,0.06440281,15.52727273
-0.96,7,0.20%,26,0.74%,,1.560%,23.49%,,,,3470,60,828,2717,,0.072463768,13.8
-0.905,5,0.14%,20,0.57%,,1.702%,22.92%,,,,3465,66,808,2733,,0.081683168,12.24242424
-0.85,6,0.17%,16,0.45%,,1.872%,22.47%,,,,3459,69,792,2743,,0.087121212,11.47826087
-0.795,3,0.09%,10,0.28%,,1.957%,22.18%,,,,3456,74,782,2765,,0.094629156,10.56756757
-0.74,5,0.14%,22,0.62%,,2.099%,21.56%,,,,3451,75,760,2778,,0.098684211,10.13333333
-0.685,1,0.03%,13,0.37%,,2.128%,21.19%,,,,3450,79,747,2794,,0.105756359,9.455696203
-0.63,4,0.11%,16,0.45%,,2.241%,20.74%,,,,3446,85,731,2805,,0.11627907,8.6
-0.575,6,0.17%,11,0.31%,,2.411%,20.43%,,,,3440,93,720,2822,,0.129166667,7.741935484
-0.52,8,0.23%,17,0.48%,,2.638%,19.94%,,,,3432,98,703,2839,,0.13940256,7.173469388
-0.465,5,0.14%,17,0.48%,,2.780%,19.46%,,,,3427,106,686,2852,,0.15451895,6.471698113
-0.41,8,0.23%,13,0.37%,,3.007%,19.09%,,,,3419,110,673,2868,,0.163447251,6.118181818
-0.355,4,0.11%,16,0.45%,,3.121%,18.64%,,,,3415,121,657,2890,,0.184170472,5.429752066
-0.3,11,0.31%,22,0.62%,,3.433%,18.01%,,,,3404,127,635,2914,,0.2,5
-0.245,6,0.17%,24,0.68%,,3.603%,17.33%,,,,3398,132,611,2928,,0.21603928,4.628787879
-0.19,5,0.14%,14,0.40%,,3.745%,16.94%,,,,3393,137,597,2952,,0.229480737,4.357664234
-0.135,5,0.14%,24,0.68%,,3.887%,16.26%,,,,3388,149,573,2970,,0.260034904,3.845637584
-0.08,12,0.34%,18,0.51%,,4.227%,15.74%,,,,3376,160,555,2989,,0.288288288,3.46875
-0.025,11,0.31%,19,0.54%,,4.539%,15.21%,,,,3365,171,536,3009,,0.319029851,3.134502924
0.03,11,0.31%,20,0.57%,,4.851%,14.64%,,,,3354,184,516,3031,,0.356589147,2.804347826
0.085,13,0.37%,22,0.62%,,5.220%,14.01%,,,,3341,204,494,3047,,0.412955466,2.421568627
0.14,20,0.57%,16,0.45%,,5.787%,13.56%,,,,3321,222,478,3067,,0.464435146,2.153153153
0.195,18,0.51%,20,0.57%,,6.298%,12.99%,,,,3303,233,458,3084,,0.508733624,1.965665236
